'010462'||'П/П 10462'|'044587002'|'ПУ БАНКА РОССИИ N 10462'|'БАНКА РОССИИ N 10462'|'040009002'|||19.05.2009||20.01.1994
'003148'||'П/П 03148'|'044587002'|'ПУ БАНКА РОССИИ N 03148'|'БАНКА РОССИИ N 03148'|'040012002'|||27.10.2003||20.01.1994
'083604'||'П/П 83604'|'044587002'|'ПУ БАНКА РОССИИ N 83604'|'БАНКА РОССИИ N 83604'|'040021002'|||27.10.2003||17.02.1994
'083524'||'П/П 83524'|'044587002'|'ПУ БАНКА РОССИИ N 83524'|'БАНКА РОССИИ N 83524'|'040031002'|||27.10.2003||20.01.1994
'025631'||'П/П 25631'|'044587002'|'ПУ БАНКА РОССИИ N 25631'|'БАНКА РОССИИ N 25631'|'040037002'|||01.04.2010||20.01.1994
'010513'||'П/П 10513'|'044587002'|'ПУ БАНКА РОССИИ N 10513'|'БАНКА РОССИИ N 10513'|'040041002'|||28.05.2009||20.01.1994
'064106'||'П/П 64106'|'044587002'|'ПУ БАНКА РОССИИ N 64106'|'БАНКА РОССИИ N 64106'|'040047002'|||27.10.2003||20.01.1994
'659690'|'СОЛОНЕШНОЕ'|'УЛ.КРАСНОАРМЕЙСКАЯ,8'|'040173001'|'РКЦ СОЛОНЕШНОЕ'|'СОЛОНЕШНОЕ'|'040118000'|'(38594)22150,22545'|'09101429'|25.12.2007||20.01.1994
'658480'|'ЗМЕИНОГОРСК'|'УЛ.ПУГАЧЕВА,2'|'040173001'|'РКЦ ЗМЕИНОГОРСК'|'ЗМЕИНОГОРСК'|'040125000'|'(38517)22808,22998'|'09101151'|25.12.2007||20.01.1994
'658960'|'МИХАЙЛОВСКОЕ'|'УЛ.ЦЕНТРАЛЬНАЯ,9'|'040173001'|'РКЦ МИХАЙЛОВСКОЕ'|'МИХАЙЛОВСКОЕ'|'040139000'|'(38570)22898,22498'|'09101599'|25.12.2007||20.01.1994
'659300'|'БИЙСК'|'УЛ.ЛЕНИНА,127'|'040173001'|'РКЦ БИЙСК'|'БИЙСК'|'040147000'|'(3854)327289,328409'|'09101079'|26.02.2008||20.01.1994
'156000'|'КОСТРОМА'|'УЛ.СВЕРДЛОВА,25А'|'043469001'|'ОАО КБ "РЕГИОНАЛЬНЫЙ КРЕДИТ"'|'РЕГИОНАЛЬНЫЙ КРЕДИТ'|'043469751'|'(4942)394900,394910'|'10041566'|13.08.2010|'30101810800000000751'|20.01.1994
'659322'|'БИЙСК'|'УЛ.СОЦИАЛИСТИЧЕСКАЯ,1'|'040147000'|'ОАО "НАРОДНЫЙ ЗЕМЕЛЬНО-ПРОМЫШЛЕННЫЙ БАНК"'|'НАРОДНЫЙ ЗЕМЕЛЬНО-ПРОМЫШЛЕННЫЙ'|'040147781'|'(3854)312685,304918'|'33992867'|27.08.2010|'30101810700000000781'|01.07.1994
'115172'|'МОСКВА'|'КРАСНОХОЛМСКАЯ НАБ.,11 СТР.1'|'044579000'|'ЗАО "ПРОБАНК"'|'ПРОБАНК'|'044579647'|'(495)6327214,6327203'|'29720790'|27.08.2010|'30101810900000000647'|20.01.1994
'656043'|'БАРНАУЛ'|'УЛ.Л.ТОЛСТОГО,38А'|'040173001'|'ООО КБ "АЛТАЙКАПИТАЛБАНК"'|'АЛТАЙКАПИТАЛБАНК'|'040173771'|'(3852)236214'|'32237844'|27.08.2010|'30101810900000000771'|29.03.1994
'656049'|'БАРНАУЛ'|'УЛ.АНАТОЛИЯ,99'|'040173001'|'ФИЛИАЛ "АЛТАЙ" ЗАО "МОССТРОЙЭКОНОМБАНК"'|'АЛТАЙ'|'040173775'|'(3852)354576,354573'|'32239820'|05.08.2010|'30101810100000000775'|29.03.1994
'658670'|'БЛАГОВЕЩЕНКА'|'УЛ.ПУШКИНА,87'|'040173001'|'РКЦ БЛАГОВЕЩЕНКА'|'БЛАГОВЕЩЕНКА'|'040153000'|'(38564)22345,22245'|'42356350'|25.12.2007||20.01.1994
'659106'|'ЗАРИНСК'|'УЛ.КОМСОМОЛЬСКАЯ,6'|'040173001'|'РКЦ ЗАРИНСК'|'ЗАРИНСК'|'040154000'|'(38595)22195,22395'|'09101441'|25.12.2007||20.01.1994
'658200'|'РУБЦОВСК'|'УЛ.К.МАРКСА,172'|'040173001'|'РКЦ РУБЦОВСК'|'РУБЦОВСК'|'040155000'|'(38557)42611,43315'|'09316360'|26.02.2008||20.01.1994
'658210'|'РУБЦОВСК'|'УЛ.ЛЕНИНА,206'|'040155000'|'АКБ "АЛТАЙБИЗНЕС-БАНК"'|'АЛТАЙБИЗНЕС-БАНК'|'040155754'|'(38557)44341,44320'|'27068718'|27.08.2010|'30101810800000000754'|20.01.1994
'656037'|'БАРНАУЛ'|'ПР.ЛЕНИНА,156-А'|'040173001'|'ООО "КБ "ТАЛЬМЕНКА-БАНК"'|'ТАЛЬМЕНКА-БАНК'|'040173749'|'(3852)771352,500360'|'09316294'|27.08.2010|'30101810000000000749'|20.01.1994
'658820'|'СЛАВГОРОД'|'УЛ.ВОЛОДАРСКОГО,145/1'|'040173001'|'РКЦ СЛАВГОРОД'|'СЛАВГОРОД'|'040160000'|'(38568)52509,52504'|'09101406'|25.12.2009||20.01.1994
'658700'|'КАМЕНЬ-НА-ОБИ'|'УЛ.ПУШКИНА,20'|'040173001'|'РКЦ КАМЕНЬ-НА-ОБИ'|'КАМЕНЬ-НА-ОБИ'|'040161000'|'(38514)23037,22876'|'09101180'|25.12.2007||20.01.1994
'658170'|'ЧАРЫШСКОЕ'|'УЛ.ЦЕНТРАЛЬНАЯ,24'|'040173001'|'РКЦ ЧАРЫШСКОЕ'|'ЧАРЫШСКОЕ'|'040168000'|'(38574)22341,22251'|'09101553'|25.12.2007||20.01.1994
'658130'|'АЛЕЙСК'|'УЛ.СОВЕТСКАЯ,98'|'040173001'|'РКЦ АЛЕЙСК'|'АЛЕЙСК'|'040169000'|'(38553)21402,20361'|'09101665'|25.12.2007||20.01.1994
